CA	Piston position	D	E	F	G	H	I	J
215.30	83.795							
215.40	83.758							
215.50	83.722							
215.60	83.685							
215.70	83.648							
215.80	83.611							
215.90	83.574							
216.00	83.536							
216.10	83.499							
216.20	83.462							
216.30	83.424							
216.40	83.386							
216.50	83.349							
216.60	83.311							
216.70	83.273							
216.80	83.235							
216.90	83.197							
217.00	83.159							
217.10	83.120							
217.20	83.082							
217.30	83.043							
217.40	83.005							
217.50	82.966							
217.60	82.927							
217.70	82.888							
217.80	82.849							
217.90	82.810							
218.00	82.771							
218.10	82.732							
218.20	82.692							
218.30	82.653							
218.40	82.613							
218.50	82.573							
218.60	82.534							
218.70	82.494							
218.80	82.454							
218.90	82.414							
219.00	82.373							
219.10	82.333							
219.20	82.293							
219.30	82.252							
219.40	82.212							
219.50	82.171							
219.60	82.130							
219.70	82.089							
219.80	82.048							
219.90	82.007							
220.00	81.966							
220.10	81.925							
220.20	81.883							
220.30	81.842							
220.40	81.800							
220.50	81.759							
220.60	81.717							
220.70	81.675							
220.80	81.633							
220.90	81.591							
221.00	81.549							
221.10	81.506							
221.20	81.464							
221.30	81.422							
221.40	81.379							
221.50	81.336							
221.60	81.294							
221.70	81.251							
221.80	81.208							
221.90	81.165							
222.00	81.122							
222.10	81.078							
222.20	81.035							
222.30	80.992							
222.40	80.948							
222.50	80.905							
222.60	80.861							
222.70	80.817							
222.80	80.773							
222.90	80.729							
223.00	80.685							
223.10	80.641							
223.20	80.597							
223.30	80.552							
223.40	80.508							
223.50	80.463							
223.60	80.418							
223.70	80.374							
223.80	80.329							
223.90	80.284							
224.00	80.239							
224.10	80.193							
224.20	80.148							
224.30	80.103							
224.40	80.057							
224.50	80.012							
224.60	79.966							
224.70	79.920							
224.80	79.875							
224.90	79.829							
225.00	79.783							
225.10	79.737							
225.20	79.690							
225.30	79.644							
225.40	79.598							
225.50	79.551							
225.60	79.504							
225.70	79.458							
225.80	79.411							
225.90	79.364							
226.00	79.317							
226.10	79.270							
226.20	79.223							
226.30	79.175							
226.40	79.128							
226.50	79.081							
226.60	79.033							
226.70	78.985							
226.80	78.938							
226.90	78.890							
227.00	78.842							
227.10	78.794							
227.20	78.746							
227.30	78.697							
227.40	78.649							
